,Unnamed: 0,Location,Carpet_Area,Bedrooms,Bathrooms,Balconies,PricePerSqft,Transaction_Type,Totals_Floors,PropertyOnFloor,Furnishing,AgeofConstruction,Amenities,Price,New_Furnishing
2963,2963,kharghar,600.0,1.0,1,2.0,8667,Resale ,4,1,Furnished,8.0,"Lift,Water Storage,Security,Vaastu Compliant,GYM,Waste Disposal,Cover Parking,Piped Gas,Swimming Pool",5200200.0,Furnished
2964,2964,kharghar,1645.0,2.0,2,1.0,5046,Resale ,7,6,Furnished,12.0,"Lift,Water Storage,Security,Vaastu Compliant,GYM,Waste Disposal,Open Parking,Piped Gas,Swimming Pool,Wifi,Garden,Park,Power Backup",8300670.0,Furnished
2965,2965,kharghar,580.0,1.0,2,0.0,9483,Resale ,5,1,Semi-Furnished,12.0,"Lift,Water Storage,Security,Vaastu Compliant,GYM,Waste Disposal,Cover Parking,Piped Gas,Swimming Pool",5500140.0,Semi-Furnished
2966,2966,kharghar,640.0,1.0,1,1.0,10156,Resale ,7,3,Unfurnished,6.0,"Lift,Water Storage,Security,Vaastu Compliant,GYM,Waste Disposal,Cover Parking,Piped Gas,Swimming Pool",6499840.0,Unfurnished
2967,2967,kharghar,2536.0,5.0,5,5.0,9858,Resale ,20,13,Unfurnished,19.0,"Lift,Water Storage,Security,Vaastu Compliant,GYM,Waste Disposal,Open Parking,Piped Gas,Swimming Pool,Wifi,Garden,Park,Club House,Intercom,Maintenance Staff,Power Backup,Jogging Track,Bank ATM",24999888.0,Unfurnished
2968,2968,kharghar,1155.0,2.0,2,2.0,10216,Resale ,30,8,Unfurnished,8.0,"Lift,Water Storage,Security,Vaastu Compliant,GYM,Waste Disposal,Open Parking,Piped Gas,Swimming Pool,Wifi,Garden,Park,Club House,Intercom,Maintenance Staff,Power Backup,Jogging Track,Bank ATM",11799480.0,Unfurnished
2969,2969,kharghar,1000.0,2.0,2,2.0,8000,Resale ,7,7,Unfurnished,9.0,"Lift,Water Storage,Security,Vaastu Compliant,GYM,Waste Disposal,Open Parking,Piped Gas,Swimming Pool,Wifi,Garden,Park,Power Backup",8000000.0,Unfurnished
2970,2970,kharghar,2100.0,2.0,2,1.0,4524,Resale ,7,1,Unfurnished,10.0,"Lift,Water Storage,Security,Vaastu Compliant,GYM,Waste Disposal,Open Parking,Piped Gas,Swimming Pool,Wifi,Garden,Park,Club House,Intercom,Maintenance Staff,Power Backup,Jogging Track,Bank ATM",9500400.0,Unfurnished
2971,2971,kharghar,1375.0,2.0,2,3.0,9600,Resale ,15,13,Furnished,10.0,"Lift,Water Storage,Security,Vaastu Compliant,GYM,Waste Disposal,Open Parking,Piped Gas,Swimming Pool,Wifi,Garden,Park,Club House,Intercom,Maintenance Staff,Power Backup,Jogging Track,Bank ATM",13200000.0,Furnished
2972,2972,kharghar,1050.0,2.0,2,2.0,8571,Resale ,17,8,Unfurnished,10.0,"Lift,Water Storage,Security,Vaastu Compliant,GYM,Waste Disposal,Open Parking,Piped Gas,Swimming Pool,Wifi,Garden,Park,Club House,Intercom,Maintenance Staff,Power Backup,Jogging Track,Bank ATM",8999550.0,Unfurnished
2973,2973,kharghar,1060.0,2.0,2,2.0,11792,Resale ,14,4,Furnished,12.0,"Lift,Water Storage,Security,Vaastu Compliant,GYM,Waste Disposal,Open Parking,Piped Gas,Swimming Pool,Wifi,Garden,Park,Club House,Intercom,Maintenance Staff,Power Backup,Jogging Track,Bank ATM",12499520.0,Furnished
2974,2974,kharghar,557.0,1.0,1,2.0,11131,Resale ,13,6,Semi-Furnished,6.0,"Lift,Water Storage,Security,Vaastu Compliant,GYM,Waste Disposal,Cover Parking,Piped Gas,Swimming Pool",6199967.0,Semi-Furnished
2975,2975,kharghar,605.0,1.0,1,2.0,8760,Resale ,4,3,Furnished,8.0,"Lift,Water Storage,Security,Vaastu Compliant,GYM,Waste Disposal,Cover Parking,Piped Gas,Swimming Pool",5299800.0,Furnished
2976,2976,kharghar,1750.0,2.0,2,1.0,4857,Resale ,7,7,Furnished,12.0,"Lift,Water Storage,Security,Vaastu Compliant,GYM,Waste Disposal,Open Parking,Piped Gas,Swimming Pool,Wifi,Garden,Park,Power Backup",8499750.0,Furnished
2977,2977,kharghar,600.0,1.0,2,0.0,9000,Resale ,5,2,Semi-Furnished,12.0,"Lift,Water Storage,Security,Vaastu Compliant,GYM,Waste Disposal,Cover Parking,Piped Gas,Swimming Pool",5400000.0,Semi-Furnished
2978,2978,kharghar,1380.0,3.0,3,1.0,12319,Resale ,7,5,Semi-Furnished,8.0,"Lift,Water Storage,Security,Vaastu Compliant,GYM,Waste Disposal,Open Parking,Piped Gas,Swimming Pool,Wifi,Garden,Park,Club House,Intercom,Maintenance Staff,Power Backup,Jogging Track,Bank ATM",17000220.0,Semi-Furnished
2979,2979,kharghar,920.0,2.0,2,2.0,13043,Resale ,7,2,Unfurnished,10.0,"Lift,Water Storage,Security,Vaastu Compliant,GYM,Waste Disposal,Open Parking,Piped Gas,Swimming Pool,Wifi,Garden,Park,Club House,Intercom,Maintenance Staff,Power Backup,Jogging Track,Bank ATM",11999560.0,Unfurnished
2980,2980,kharghar,690.0,1.0,1,1.0,8116,Resale ,7,7,Unfurnished,10.0,"Lift,Water Storage,Security,Vaastu Compliant,GYM,Waste Disposal,Cover Parking,Piped Gas,Swimming Pool",5600040.0,Unfurnished
2981,2981,kharghar,854.0,1.0,1,1.0,7611,Resale ,4,4,Unfurnished,10.0,"Lift,Water Storage,Security,Vaastu Compliant,GYM,Waste Disposal,Cover Parking,Piped Gas,Swimming Pool",6499794.0,Unfurnished
2982,2982,kharghar,1155.0,2.0,2,2.0,10823,Resale ,16,3,Unfurnished,10.0,"Lift,Water Storage,Security,Vaastu Compliant,GYM,Waste Disposal,Open Parking,Piped Gas,Swimming Pool,Wifi,Garden,Park,Club House,Intercom,Maintenance Staff,Power Backup,Jogging Track,Bank ATM",12500565.0,Unfurnished
2983,2983,kharghar,1400.0,3.0,3,3.0,19643,Resale ,19,17,Unfurnished,10.0,"Lift,Water Storage,Security,Vaastu Compliant,GYM,Waste Disposal,Open Parking,Piped Gas,Swimming Pool,Wifi,Garden,Park,Club House,Intercom,Maintenance Staff,Power Backup,Jogging Track,Bank ATM",27500200.0,Unfurnished
2984,2984,kharghar,800.0,1.0,1,1.0,9125,Resale ,4,0,Unfurnished,5.0,"Lift,Water Storage,Security,Vaastu Compliant,GYM,Waste Disposal,Cover Parking,Piped Gas,Swimming Pool",7300000.0,Unfurnished
2985,2985,kharghar,1051.0,2.0,2,2.0,8088,Resale ,5,5,Semi-Furnished,10.0,"Lift,Water Storage,Security,Vaastu Compliant,GYM,Waste Disposal,Open Parking,Piped Gas,Swimming Pool,Wifi,Garden,Park,Club House,Intercom,Maintenance Staff,Power Backup,Jogging Track,Bank ATM",8500488.0,Semi-Furnished
2986,2986,kharghar,796.0,2.0,2,2.0,10050,Resale ,13,6,Unfurnished,8.0,"Lift,Water Storage,Security,Vaastu Compliant,GYM,Waste Disposal,Open Parking,Piped Gas,Swimming Pool,Wifi,Garden,Park,Power Backup",7999800.0,Unfurnished
2987,2987,kharghar,1075.0,2.0,2,2.0,12093,Resale ,20,9,Furnished,10.0,"Lift,Water Storage,Security,Vaastu Compliant,GYM,Waste Disposal,Open Parking,Piped Gas,Swimming Pool,Wifi,Garden,Park,Club House,Intercom,Maintenance Staff,Power Backup,Jogging Track,Bank ATM",12999975.0,Furnished
2988,2988,kharghar,1180.0,2.0,2,2.0,8898,Resale ,14,1,Semi-Furnished,10.0,"Lift,Water Storage,Security,Vaastu Compliant,GYM,Waste Disposal,Open Parking,Piped Gas,Swimming Pool,Wifi,Garden,Park,Club House,Intercom,Maintenance Staff,Power Backup,Jogging Track,Bank ATM",10499640.0,Semi-Furnished
2989,2989,kharghar,1285.0,2.0,2,3.0,7393,Resale ,12,10,Unfurnished,10.0,"Lift,Water Storage,Security,Vaastu Compliant,GYM,Waste Disposal,Open Parking,Piped Gas,Swimming Pool,Wifi,Garden,Park,Club House,Intercom,Maintenance Staff,Power Backup,Jogging Track,Bank ATM",9500005.0,Unfurnished
